imdb_id,nota_letterboxd,avaliacoes_letterboxd,diretor,url_letterboxd
tt32362537,2.69,6369,Pichaya Jarusboonpracha,https://letterboxd.com/film/404-run-run/
tt1337139,3.82,1740,"Bill Ross, Turner Ross",https://letterboxd.com/film/45365/
tt1335975,2.63,99239,Carl Rinsch,https://letterboxd.com/film/47-ronin-2013/
tt0112261,3.31,207,"Vince DiPersio, Bill Guttentag",https://letterboxd.com/film/5-american-handguns-5-american-kids/
tt2486678,3.37,10604,Victor Levin,https://letterboxd.com/film/5-to-7/
tt1521846,3.19,2626,"Songyos Sugmakanan, Visute Poolvoralaks, Banjong Pisanthanakun, Paween Purijitpanya, Parkpoom Wongpoom",https://letterboxd.com/film/phobia-2/
tt0343660,3.45,1061051,Peter Segal,https://letterboxd.com/film/50-first-dates/
tt1306980,3.61,354716,Jonathan Levine,https://letterboxd.com/film/50-50/
tt32149531,3.25,408,Simón Hernández,https://letterboxd.com/film/500-days-of-escobar/
tt1629439,2.23,1123,Jason Connery,https://letterboxd.com/film/51/
tt0090567,3.36,12485,John Frankenheimer,https://letterboxd.com/film/52-pick-up/
tt32155665,2.88,12426,Cesc Gay,https://letterboxd.com/film/53-sundays/
tt13128292,3.46,2170,Billy Corben,https://letterboxd.com/film/537-votes/
tt6142496,2.94,9557,Marja-Lewis Ryan,https://letterboxd.com/film/6-balloons/
tt4703048,2.99,19307,Toa Fraser,https://letterboxd.com/film/6-days/
tt2076781,3.83,12890,Arthur Bradford,https://letterboxd.com/film/6-days-to-air-the-making-of-south-park/
tt1179069,2.67,14404,"Björn Stein, Måns Mårlind",https://letterboxd.com/film/6-souls/
tt8106534,2.59,235608,Michael Bay,https://letterboxd.com/film/6-underground/
tt3799372,2.48,28923,Hannah Fidell,https://letterboxd.com/film/6-years/
tt29538571,2.83,21021,Oliver Kienle,https://letterboxd.com/film/sixty-minutes/
tt0250934,3.57,9158,Billy Crystal,https://letterboxd.com/film/61/
tt12261776,2.15,220274,"Scott Beck, Bryan Woods",https://letterboxd.com/film/65/
tt33478321,2.43,3478,Lee Yun-seok,https://letterboxd.com/film/you-will-die-in-6-hours/
tt5517438,3.23,5064,Roger Gual,https://letterboxd.com/film/seven-years/
tt3895884,3.55,47191,Jake Szymanski,https://letterboxd.com/film/7-days-in-hell/
tt6840554,3.11,337,Eric Balfour,https://letterboxd.com/film/7-days-to-vegas/
tt15206378,2.49,29589,Alessandro Genovesi,https://letterboxd.com/film/7-women-and-a-murder/
tt14168118,3.61,17851,Alexandre Moratto,https://letterboxd.com/film/7-prisoners/
tt36304003,2.26,127983,Tim Story,https://letterboxd.com/film/72-hours-2026/
tt6436726,3.03,32397,Patrick Vollrath,https://letterboxd.com/film/7500/
tt12023002,2.89,227,Anthony Nardolillo,https://letterboxd.com/film/7th-union/
tt2659414,4.1,48885,Lee Hwan-kyung,https://letterboxd.com/film/miracle-in-cell-no-7/
tt13834006,2.73,11369,Dany Boon,https://letterboxd.com/film/stuck-together/
tt7518786,3.49,21635,Kabir Khan,https://letterboxd.com/film/83-2021/
tt32237537,2.81,68408,Kim Tae-joon,https://letterboxd.com/film/wall-to-wall/
tt13680520,2.29,1277,Gigi Gaston,https://letterboxd.com/film/9-bullets/
tt11792734,2.18,6521,Ezel Akay,https://letterboxd.com/film/leyla-everlasting/
tt3542188,3.41,3436,Roni Ezra,https://letterboxd.com/film/april-9th/
tt32196096,3.26,367,"Sharon Petzold, Tony Bacon",https://letterboxd.com/film/9-11-the-plane-that-hit-the-pentagon/
tt43961446,3.51,214,,https://letterboxd.com/film/9-11-united-we-stand-25-years-later/
tt34381460,2.84,6662,Hung Tzu-hsuan,https://letterboxd.com/film/96-minutes-2025/
tt10329084,3.28,228,Preetham Gubbi,https://letterboxd.com/film/99-2019/
tt7559180,3.12,549,Vishwesh Krishnamoorthy,https://letterboxd.com/film/99-songs/
tt1038988,3.69,546573,"Jaume Balagueró, Paco Plaza",https://letterboxd.com/film/rec/
tt1245112,3.16,141949,"Paco Plaza, Jaume Balagueró",https://letterboxd.com/film/rec-2/
tt1649444,2.38,76180,Paco Plaza,https://letterboxd.com/film/rec-genesis/
tt1649443,2.22,45877,Jaume Balagueró,https://letterboxd.com/film/rec-apocalypse/
tt0429489,3.61,2601,Reha Erdem,https://letterboxd.com/film/oh-moon/
tt4844150,2.36,8473,Rachel Talalay,https://letterboxd.com/film/a-babysitters-guide-to-monster-hunting/
tt5212918,3.12,818,Jason Headley,https://letterboxd.com/film/a-bad-idea-gone-wrong/
tt6359956,2.7,103811,"Scott Moore, Jon Lucas",https://letterboxd.com/film/a-bad-moms-christmas/
tt15282148,2.79,12002,Mehdi Avaz,https://letterboxd.com/film/a-beautiful-life-2023/
tt0268978,3.88,676289,Ron Howard,https://letterboxd.com/film/a-beautiful-mind/
tt13650700,2.78,126058,Kogonada,https://letterboxd.com/film/a-big-bold-beautiful-journey/
tt2056771,3.47,80971,Luca Guadagnino,https://letterboxd.com/film/a-bigger-splash-2015/
tt10187208,2.91,36042,Gil Kenan,https://letterboxd.com/film/a-boy-called-christmas/
tt1401621,3.12,271,John Asher,https://letterboxd.com/film/a-boy-called-po/
tt0087001,2.94,1513,Philippe Mora,https://letterboxd.com/film/a-breed-apart/
tt22500220,2.02,3889,Robin Dunne,https://letterboxd.com/film/a-brush-with-christmas/
tt0120623,3.51,869086,John Lasseter,https://letterboxd.com/film/a-bugs-life/
tt2125425,3.34,3367,Luciano Moura,https://letterboxd.com/film/fathers-chair/
tt35295730,2.72,4132,Rako Prijanto,https://letterboxd.com/film/a-business-proposal/
tt13701962,2.26,4519,Shaun Paul Piccinino,https://letterboxd.com/film/a-california-christmas-city-lights/
tt5704606,3.66,601,Chris Kelly,https://letterboxd.com/film/a-cambodian-spring/
tt32481874,2.31,1720,Jake Helgren,https://letterboxd.com/film/a-carpenter-christmas-romance/
tt13070602,2.22,23462,Mary Lambert,https://letterboxd.com/film/a-castle-for-christmas/
tt12076020,3.28,928,Ron de Moraes,https://letterboxd.com/film/a-celebration-of-the-music-from-coco/
tt38589701,3.46,1213,Jonas Carpignano,https://letterboxd.com/film/a-chiara-2021/
tt14495394,3.74,944,John Maggio,https://letterboxd.com/film/a-choice-of-weapons-inspired-by-gordon-parks/
tt1067106,3.25,322225,Robert Zemeckis,https://letterboxd.com/film/a-christmas-carol-2009/
tt22207152,2.67,1719,Alex Ranarivelo,https://letterboxd.com/film/a-christmas-mystery-2022/
tt7608418,2.45,54037,Alex Zamm,https://letterboxd.com/film/a-christmas-prince/
tt10006006,2.27,24844,John Schultz,https://letterboxd.com/film/a-christmas-prince-the-royal-baby/
tt8709036,2.29,30069,John Schultz,https://letterboxd.com/film/a-christmas-prince-the-royal-wedding/
tt21974122,3.05,361,Rhonda Baraka,https://letterboxd.com/film/a-christmas-spark/
tt17220704,2.92,33750,Clay Kaytis,https://letterboxd.com/film/a-christmas-story-christmas/
tt28494884,2.95,2503,"Mariana Arriaga, Santiago Arriaga",https://letterboxd.com/film/upon-open-sky/
tt26741429,2.27,2817,Don McBrearty,https://letterboxd.com/film/a-cinderella-christmas-ball/
tt12877640,2.73,97243,"Roberto De Feo, Paolo Strippoli",https://letterboxd.com/film/a-classic-horror-story/
tt0066921,4.09,1563958,Stanley Kubrick,https://letterboxd.com/film/a-clockwork-orange/
tt2550692,3.28,528,Bernard Attal,https://letterboxd.com/film/the-invisible-collection/
tt2104837,2.86,382,Chandran Rutnam,https://letterboxd.com/film/a-common-man/
tt11563598,3.56,1095720,James Mangold,https://letterboxd.com/film/a-complete-unknown/
tt32820804,2.82,483,Colin Theys,https://letterboxd.com/film/a-costa-rican-wedding/
tt3953626,3.11,501,Anna Axster,https://letterboxd.com/film/a-country-called-home/
tt26935480,2.68,247,Jeremy Drummond,https://letterboxd.com/film/a-cowboy-christmas/
tt4731136,3.17,254494,Gore Verbinski,https://letterboxd.com/film/a-cure-for-wellness/
tt0077393,3.46,9409,Neville D'Almeida,https://letterboxd.com/film/lady-on-the-bus/
tt1360767,2.07,1727,Keoni Waxman,https://letterboxd.com/film/a-dangerous-man/
tt8294204,3.16,1877,Liz Garbus,https://letterboxd.com/film/a-dangerous-son/
tt14412366,1.68,2146,Wes Miller,https://letterboxd.com/film/a-day-to-die/
tt36592065,3.07,23235,"Jessica Burgess, Jenny Popplewell",https://letterboxd.com/film/a-deadly-american-marriage/
tt21097228,3.81,313234,Aaron Schimberg,https://letterboxd.com/film/a-different-man/
tt0808232,2.79,1887,George LaVoo,https://letterboxd.com/film/a-dog-year/
tt3447830,3.01,353,Calvito Leal,https://letterboxd.com/film/a-esperanca-e-a-ultima-que-morre/
tt2299368,1.88,4662,Savage Steve Holland,https://letterboxd.com/film/a-fairly-odd-christmas/
